i,decision_date,entry_date,exit_date,candidate,long_symbols,short_symbols,gross_unit_return,eligible_count,net_return,before,after,log
368,2023-05-21,2023-05-22,2023-05-25,drawdown_recovery_k1,"[""FETUSDT""]","[""RNDRUSDT""]",-0.11680206594927423,13,-0.03195051648731856,0.846343074276875,0.8193019759282638,-0.0324720736808261
369,2023-05-24,2023-05-25,2023-05-28,drawdown_recovery_k1,"[""FETUSDT""]","[""RNDRUSDT""]",0.09911980705969992,16,0.022029951764924977,0.8193019759282638,0.8373511589388711,0.02179079836276042
370,2023-05-27,2023-05-28,2023-05-31,drawdown_recovery_k1,"[""HOOKUSDT""]","[""HIGHUSDT""]",0.0903150376505587,17,0.019828759412639674,0.8373511589388711,0.853954793613365,0.019634730273478694
371,2023-05-30,2023-05-31,2023-06-03,drawdown_recovery_k1,"[""STXUSDT""]","[""ACHUSDT""]",0.003234539440271189,18,-0.0019413651399322028,0.853954793613365,0.8522969555459661,-0.0019432520317282185
372,2023-06-02,2023-06-03,2023-06-06,drawdown_recovery_k1,"[""GMXUSDT""]","[""CKBUSDT""]",0.04024356380657701,18,0.007310890951644251,0.8522969555459661,0.858528005646381,0.0072842959319187935
373,2023-06-05,2023-06-06,2023-06-09,drawdown_recovery_k1,"[""CFXUSDT""]","[""CKBUSDT""]",0.02099320350911016,20,0.00249830087727754,0.858528005646381,0.8606728669160548,0.002495185311642299
374,2023-06-08,2023-06-09,2023-06-12,drawdown_recovery_k1,"[""CFXUSDT""]","[""STXUSDT""]",-0.06838829919834521,21,-0.019847074799586306,0.8606728669160548,0.8435910281483976,-0.020046673368577947
375,2023-06-11,2023-06-12,2023-06-15,drawdown_recovery_k1,"[""CFXUSDT""]","[""USDCUSDT""]",-0.028667266432128358,21,-0.009916816608032092,0.8435910281483976,0.8352252906300687,-0.009966315755038388
376,2023-06-14,2023-06-15,2023-06-18,drawdown_recovery_k1,"[""CFXUSDT""]","[""USDCUSDT""]",0.0600596549849719,21,0.012264913746242972,0.8352252906300687,0.8454692567783272,0.01219030908536185
377,2023-06-17,2023-06-18,2023-06-21,drawdown_recovery_k1,"[""CFXUSDT""]","[""USDCUSDT""]",0.16742643873504626,21,0.03910660968376156,0.8454692567783272,0.8785326930027773,0.03836131482607389
378,2023-06-20,2023-06-21,2023-06-24,drawdown_recovery_k1,"[""HIGHUSDT""]","[""STXUSDT""]",0.0018676946503837222,21,-0.0022830763374040693,0.8785326930027773,0.8765269357997467,-0.0022856865297877327
379,2023-06-23,2023-06-24,2023-06-27,drawdown_recovery_k1,"[""HIGHUSDT""]","[""TUSDT""]",0.09484998257453336,23,0.02096249564363334,0.8765269357997467,0.8949011278729763,0.020745805543736572
380,2023-06-26,2023-06-27,2023-06-30,drawdown_recovery_k1,"[""HIGHUSDT""]","[""USDCUSDT""]",-0.06339629031146066,23,-0.018599072577865167,0.8949011278729763,0.8782567968456534,-0.018774210327662133
381,2023-06-29,2023-06-30,2023-07-03,drawdown_recovery_k1,"[""HIGHUSDT""]","[""USDCUSDT""]",0.03417493977817865,26,0.005793734944544662,0.8782567968456534,0.883345183939822,0.0057770158086527116
382,2023-07-02,2023-07-03,2023-07-06,drawdown_recovery_k1,"[""HIGHUSDT""]","[""USDCUSDT""]",0.001785215671460505,26,-0.0023036960821348736,0.883345183939822,0.8813102251004071,-0.0023063536722587813
383,2023-07-05,2023-07-06,2023-07-09,drawdown_recovery_k1,"[""AMBUSDT""]","[""USDCUSDT""]",-0.09446056288587346,28,-0.026365140721468366,0.8813102251004071,0.8580743569963659,-0.02671893343198446
384,2023-07-08,2023-07-09,2023-07-12,drawdown_recovery_k1,"[""AMBUSDT""]","[""USDCUSDT""]",-0.022118865558832357,28,-0.00827971638970809,0.8580743569963659,0.8509697446791549,-0.00831418362593488
