trade_index,decision_date,entry_date,exit_date,long_symbol,short_symbol,long_signal,short_signal,dispersion,dispersion_gate,eligible_count,median_quote_volume_long,median_quote_volume_short,long_entry,long_exit,short_entry,short_exit,gross_unit_return,leverage,net_return,equity_before,equity_after,log_contribution
76,2020-12-11,2020-12-12,2020-12-15,SUSHIUSDT,SXPUSDT,1.837270726338958,-0.1550257325911143,0.4435197305762662,True,24,133756576.5544,37634064.90564,1.9339,2.5634,0.804,0.8575,0.2589657521894637,0.25,0.06199143804736593,1.2339494252655787,1.3104437246155125,0.06014586068495612
77,2020-12-14,2020-12-15,2020-12-18,EGLDUSDT,SOLUSDT,1.5622495324605934,-0.17000000000000004,0.4383472295679781,True,26,12441608.62835,15878578.404550001,19.177,23.354,1.5927,1.68,0.1630004227552011,0.25,0.03800010568880027,1.3104437246155125,1.360240724650127,0.03729588656334507
78,2020-12-17,2020-12-18,2020-12-21,EGLDUSDT,CRVUSDT,1.9591733231900594,-0.2502857142857142,0.43891684950906956,True,28,18743425.25375,46116666.082200006,23.354,25.621,0.656,0.617,0.15652238505128901,0.25,0.03638059626282225,1.360240724650127,1.409727093273872,0.035734447283181085
79,2020-12-20,2020-12-21,2020-12-24,EGLDUSDT,YFIIUSDT,2.346671897476134,-0.3271343035013283,0.4973812943746988,True,27,20480950.63535,38029580.54955,25.621,21.748,1696.3,1345.1,0.05587378934836351,0.25,0.011218447337090875,1.409727093273872,1.425542042429435,0.011155987259373444
80,2020-12-23,2020-12-24,2020-12-27,EGLDUSDT,BZRXUSDT,1.3879877246821568,-0.5123081378511439,0.37470235247012545,True,28,31217031.731399998,13796367.77615,21.748,23.174,0.1684,0.1543,0.1492984638989382,0.25,0.034574615974734546,1.425542042429435,1.4748296111022712,0.033990343175842715
81,2020-12-26,2020-12-27,2020-12-30,EGLDUSDT,OMGUSDT,1.5338296474709874,-0.31447084233261335,0.40060235883945106,True,28,34062322.344050005,17049024.57488,23.174,23.837,2.5383,2.5639,0.01852415845550648,0.25,0.0018810396138766196,1.4748296111022712,1.4776038240244729,0.0018792726743040618
82,2020-12-29,2020-12-30,2021-01-02,EGLDUSDT,BZRXUSDT,1.6644317800871606,-0.39016777214202103,0.4174963029411511,True,30,37681029.01955,13796367.77615,23.837,26.109,0.1565,0.162,0.060170237667137805,0.25,0.012292559416784449,1.4776038240244729,1.4957673568257617,0.012217619419506132
83,2021-01-01,2021-01-02,2021-01-05,EGLDUSDT,BZRXUSDT,1.2552915766738661,-0.4401798063623791,0.3769550326496457,True,29,37681029.01955,12764781.3195,26.109,30.785,0.162,0.1887,0.014280516297062285,0.25,0.0008201290742655711,1.4957673568257617,1.4969940791234317,0.0008197929521794222
84,2021-01-04,2021-01-05,2021-01-08,DOGEUSDT,WAVESUSDT,1.8828722778104767,-0.33510553196726367,0.5242463133123889,True,29,10762258.389968,33666517.096415,0.009796,0.009775,5.4031,5.9407,-0.10164216821855476,0.25,-0.028160542054638693,1.4969940791234317,1.4548379144027312,-0.028564654886102568
85,2021-01-07,2021-01-08,2021-01-11,EGLDUSDT,FLMUSDT,1.9631343759974467,-0.28104575163398693,0.5123509139142155,True,28,43431018.8553,5782015.65155,37.161,36.339,0.1432,0.1719,-0.22253895889229702,0.25,-0.05838473972307426,1.4548379144027312,1.3698975814310677,-0.06015851641620247
86,2021-01-10,2021-01-11,2021-01-14,SNXUSDT,WAVESUSDT,2.244260789715335,-0.1946960454483837,0.5746179795254501,True,29,29683410.33955,32356553.440954998,14.139,15.556,6.5376,6.3913,0.1225974944953393,0.25,0.027899373623834822,1.3698975814310677,1.4081168658818008,0.02751727666194017
87,2021-01-13,2021-01-14,2021-01-17,SNXUSDT,WAVESUSDT,1.963047619047619,-0.25961115102078647,0.585538987687505,True,32,47112123.993949994,35086752.808325,15.556,15.577,6.3913,6.6452,-0.03837591593486889,0.25,-0.012343978983717224,1.4081168658818008,1.3907351008827382,-0.012420798721052213
88,2021-01-16,2021-01-17,2021-01-20,AVAXUSDT,FILUSDT,2.9765049569568327,-0.19714897651065633,0.7276063028572611,True,34,31696689.17295,34079717.17025,12.7817,11.7,22.865,22.685,-0.07675651134602657,0.25,-0.021939127836506644,1.3907351008827382,1.360223585717755,-0.022183369408275436
