decision_date,entry_date,exit_date,long_symbol,short_symbol,long_signal,short_signal,dispersion,dispersion_gate,eligible_count,median_quote_volume_long,median_quote_volume_short,long_entry,long_exit,short_entry,short_exit,gross_unit_return
2022-05-05,2022-05-06,2022-05-09,ENSUSDT,DUSKUSDT,0.004509283819628562,-0.47569364824581517,0.17053222989675854,False,6,40874594.7194,24356815.264845,18.932,17.005,0.22862,0.21073,-0.023533215571365673
2022-05-08,2022-05-09,2022-05-12,ENSUSDT,DUSKUSDT,0.12411558553197133,-0.41409814176032045,0.1931180240565447,True,6,63619678.857999995,22553420.85317,17.005,9.51,0.21073,0.12584,-0.03791496531574978
2022-05-11,2022-05-12,2022-05-15,ENSUSDT,PEOPLEUSDT,-0.30974671601712755,-0.7165021156558533,0.13995904417033345,False,6,180664363.62195,114544257.23993,9.51,9.634,0.01406,0.01699,-0.19535369671514458
2022-05-14,2022-05-15,2022-05-18,ENSUSDT,ROSEUSDT,-0.31151289930679626,-0.6803887688984882,0.11976975238310236,False,7,202394001.96725,47290815.64961,9.634,12.448,0.07397,0.08429,0.152574492759171
2022-05-17,2022-05-18,2022-05-21,ENSUSDT,PEOPLEUSDT,-0.09050401753104453,-0.6604272634791455,0.1788052465461745,True,7,261993758.71960002,114544257.23993,12.448,13.043,0.01669,0.0225,-0.3003137991131182
2022-05-20,2022-05-21,2022-05-24,ENSUSDT,ROSEUSDT,-0.10757762276022431,-0.711933976682241,0.18209178208501275,True,7,320343743.7954,65320912.848855,13.043,12.72,0.06598,0.06591,-0.02370331380171209
2022-05-23,2022-05-24,2022-05-27,ENSUSDT,ROSEUSDT,-0.0890862217129762,-0.6981270321014792,0.1698315825701869,False,8,320343743.7954,66380185.53439,12.72,10.396,0.06591,0.0635,-0.14613938961934947
2022-05-26,2022-05-27,2022-05-30,ENSUSDT,ROSEUSDT,-0.2746808065303844,-0.6992801666982382,0.1135070835582023,False,8,320343743.7954,66380185.53439,10.396,10.185,0.0635,0.06559,-0.053209653622077524
2022-05-29,2022-05-30,2022-06-02,IMXUSDT,ROSEUSDT,-0.3436123348017621,-0.6672414667545773,0.09539505112477646,False,8,55141633.01015,65027005.55416,1.0134,0.9617,0.06559,0.06764,-0.08227114494708276
2022-06-01,2022-06-02,2022-06-05,IMXUSDT,ROSEUSDT,-0.375130005200208,-0.6027727192621747,0.06769991180038376,False,7,56800584.437,63967732.868625,0.9617,0.9593,0.06764,0.0682,-0.010774705520672945
