trade_index,decision_date,entry_date,exit_date,long_symbol,short_symbol,long_signal,short_signal,dispersion,dispersion_gate,eligible_count,median_quote_volume_long,median_quote_volume_short,long_entry,long_exit,short_entry,short_exit,gross_unit_return,leverage,net_return,equity_before,equity_after,log_contribution
445,2024-01-07,2024-01-08,2024-01-11,SEIUSDT,ARKUSDT,1.4014184397163123,-0.3232247830549595,0.37681411964345574,True,15,450778051.20085,16165104.0045,0.6772,0.7411,0.7257,0.8133,-0.02635191180668306,0.25,-0.009337977951670766,0.8448942322128151,0.8370046285009181,-0.009381850200105731
446,2024-01-10,2024-01-11,2024-01-14,SEIUSDT,BIGTIMEUSDT,2.0930717863105173,-0.34572670207629164,0.5015573776653722,True,18,525018384.95335,157986570.40225,0.7411,0.7235,0.4066,0.4182,-0.05227774907920257,0.25,-0.015819437269800646,0.8370046285009181,0.823763686285815,-0.01594590005416032
447,2024-01-13,2024-01-14,2024-01-17,SEIUSDT,BIGTIMEUSDT,1.8057386583947266,-0.42139496263492937,0.44180105904919575,True,19,527581650.02989995,145020581.7587,0.7235,0.7726,0.4182,0.4339,0.030322701332627267,0.25,0.004830675333156817,0.823763686285815,0.8277430212055062,0.004819045060744126
448,2024-01-16,2024-01-17,2024-01-20,SEIUSDT,WLDUSDT,2.3144573144573144,-0.3458459053004206,0.5427601190372062,True,22,533857844.492,155150883.67855,0.7726,0.706,2.7533,2.5153,0.00023929113412102243,0.25,-0.0026901772164697442,0.8277430212055062,0.8255162457887674,-0.0026938022459717837
449,2024-01-19,2024-01-20,2024-01-23,PENDLEUSDT,BIGTIMEUSDT,1.0604589165000475,-0.3455997222704391,0.344704340508546,True,24,23570842.5269,102328936.67265,2.1644,1.995,0.3769,0.3365,0.0289237419583811,0.25,0.004480935489595275,0.8255162457887674,0.8292153308317598,0.00447092598831191
450,2024-01-22,2024-01-23,2024-01-26,PENDLEUSDT,BIGTIMEUSDT,0.682865097443685,-0.4176908429980959,0.28239206184466215,True,23,30641608.5931,81378180.79475,1.995,2.4478,0.3365,0.3335,0.2358827231526066,0.25,0.05622068078815165,0.8292153308317598,0.8758343812510937,0.0546971414702881
451,2024-01-25,2024-01-26,2024-01-29,BSVUSDT,BIGTIMEUSDT,0.3597597597597597,-0.4248016557433597,0.16334166466448877,True,24,100897821.414,74280039.52309999,67.92,71.55,0.3335,0.3507,0.0018710167884254947,0.25,-0.002282245802893626,0.8758343812510937,0.8738355119104535,-0.002284854095111004
452,2024-01-28,2024-01-29,2024-02-01,SEIUSDT,BIGTIMEUSDT,0.1893019038984589,-0.3497125903949564,0.12561589149347566,False,23,451588016.43285,63798740.50235,0.6559,0.6497,0.3507,0.3333,0.04016239513654518,0.25,0.007290598784136294,0.8738355119104535,0.880206296031123,0.007264150838596916
453,2024-01-31,2024-02-01,2024-02-04,TIAUSDT,BSVUSDT,0.15607377903407738,-0.33727185398655135,0.11071835714947717,False,27,377868562.27065,46658332.9605,16.1959,17.7267,68.98,73.61,0.027396843708987095,0.25,0.004099210927246774,0.880206296031123,0.8838144472980453,0.004090832052179775
454,2024-02-03,2024-02-04,2024-02-07,TIAUSDT,POWRUSDT,0.1337712005320919,-0.4852020970742432,0.11178475554895775,False,29,318729179.91770005,35376799.46625,17.7267,17.4165,0.3045,0.3,-0.0027207017684854895,0.25,-0.003430175442121372,0.8838144472980453,0.8807828086855315,-0.0034360719818752293
