trade_index,decision_date,entry_date,exit_date,long_symbol,short_symbol,long_signal,short_signal,dispersion,dispersion_gate,eligible_count,median_quote_volume_long,median_quote_volume_short,long_entry,long_exit,short_entry,short_exit,gross_unit_return,leverage,net_return,equity_before,equity_after,log_contribution
545,2024-11-02,2024-11-03,2024-11-06,MEWUSDT,ZROUSDT,0.8271913387466168,-0.19627354419454746,0.34115555294254574,True,9,207737376.356489,47515181.433325,0.008777,0.00853,3.1662,3.0954,-0.005780544007587651,0.25,-0.004195136001896913,0.9715598156357906,0.9674839900752206,-0.004203960272925968
546,2024-11-05,2024-11-06,2024-11-09,TURBOUSDT,ZROUSDT,0.40558785249457685,-0.268861907686493,0.23888764977670865,True,9,225105767.85442823,44445555.482875004,0.0080997,0.0085464,3.0954,3.6346,-0.11904377449093584,0.25,-0.03251094362273396,0.9674839900752206,0.9360301726179874,-0.03305116538014066
547,2024-11-08,2024-11-09,2024-11-12,MEWUSDT,NOTUSDT,0.6108915993815496,-0.1550230165177363,0.22121983751254362,True,9,190879094.6169045,96711848.7777995,0.009379,0.011498,0.006242,0.007871,-0.035043777028305634,0.25,-0.011510944257076411,0.9360301726179874,0.9252555814780401,-0.011577708013005153
548,2024-11-11,2024-11-12,2024-11-15,MEWUSDT,TURBOUSDT,0.68478898007034,-0.01719694180329634,0.22609980986858896,True,8,214543139.054038,236799718.47765774,0.011498,0.010144,0.0090753,0.0087614,-0.08317122210437344,0.25,-0.023542805526093363,0.9252555814780401,0.9034724692613701,-0.02382436529041632
552,2024-11-23,2024-11-24,2024-11-27,BRETTUSDT,SYNUSDT,0.5960388273360135,-0.2519480519480519,0.22250319372035096,True,18,26355299.78756,9618373.80335,0.16286,0.16553,0.4897,0.5577,-0.12246607763298623,0.25,-0.03336651940824656,0.9034724692613701,0.8733267375809443,-0.03393588268730778
553,2024-11-26,2024-11-27,2024-11-30,BRETTUSDT,TURBOUSDT,0.7870180365050219,-0.27652943724315693,0.23422987692787967,True,21,46586408.028325,163900264.48154086,0.16553,0.17412,0.0068495,0.0078548,-0.09487592070379303,0.25,-0.02646898017594826,0.8733267375809443,0.8502106694767887,-0.026825590451494463
554,2024-11-29,2024-11-30,2024-12-03,BRETTUSDT,POPCATUSDT,0.7935723114956736,-0.1978958504760785,0.24026968041352592,True,21,47704161.593954995,272399181.81605005,0.17412,0.19972,1.3647,1.2182,0.25437464084699,0.25,0.0608436602117475,0.8502106694767887,0.9019405985588368,0.05906449741900535
555,2024-12-02,2024-12-03,2024-12-06,BRETTUSDT,POPCATUSDT,1.4295097919961073,-0.1754112788572203,0.36600881567020366,True,22,62495598.06566,272399181.81605005,0.19972,0.19864,1.2182,1.3492,-0.11294327902110068,0.25,-0.030985819755275174,0.9019405985588368,0.8739932297419277,-0.03147603330296034
556,2024-12-05,2024-12-06,2024-12-09,BRETTUSDT,NEIROETHUSDT,1.4733565737051793,0.03045550847457612,0.3809280144012363,True,25,68546908.29671,126835649.69653,0.19864,0.21008,0.07785,0.08142,0.01173420492489563,0.25,0.00018355123122390754,0.8739932297419277,0.8741536522753282,0.0001835343877576411
557,2024-12-08,2024-12-09,2024-12-12,BRETTUSDT,NEIROETHUSDT,1.3043001316366825,-0.19154006553470349,0.34532573674613226,True,26,68546908.29671,117392173.41306,0.21008,0.18309,0.08142,0.06546,0.06754576703348025,0.25,0.01413644175837006,0.8741536522753282,0.8865110744685848,0.014037454063993355
